time,stim,spike
31.79,0,0.01007
31.791,0,0.00507
31.792,0,0.00516
31.793,0,-0.00378
31.794,0,0.00885
31.795,0,7e-4
31.796,0,-0.00278
31.797,0,0.00256
31.798,0,0.00516
31.799,0,0.01022
31.8,0,-0.00455
31.801,0,0.00119
31.802,0,0.00232
31.803,0,0.00238
31.804,0,0.00296
31.805,0,0.00479
31.806,0,-7.3e-4
31.807,0,0.01501
31.808,0,0.00415
31.809,0,-0.00366
31.81,0,0.00378
31.811,0,0.00336
31.812,0,0.00134
31.813,0,-6.7e-4
31.814,0,0.00171
31.815,0,0.01227
31.816,0,0.00665
31.817,0,0.00623
31.818,0,0.00287
31.819,0,0.00742
31.82,0,0.00571
31.821,0,-0.00479
31.822,0,0.00558
31.823,0,-0.00488
31.824,0,0.00128
31.825,0,0.00275
31.826,0,0.00107
31.827,0,0.005
31.828,0,0.00558
31.829,0,0.00162
31.83,0,0.00906
31.831,0,0.00317
31.832,0,0.01144
31.833,0,0.00403
31.834,0,0.0072
31.835,0,3.7e-4
31.836,0,0.00198
31.837,0,0.00119
31.838,0,0.00616
31.839,0,0.00375
31.84,0,0.00223
31.841,0,-5.2e-4
31.842,0,-0.00742
31.843,0,0.00302
31.844,0,0.00949
31.845,0,3e-5
31.846,0,4e-4
31.847,0,0.00317
31.848,0,0.00674
31.849,0,-0.00281
